2026-07-12T02:23:40.506Z | open=122 | active15m=28 | paid15m=10 | paid60m=71
2026-07-12T02:24:44.392Z | open=122 | active15m=29 | paid15m=9 | paid60m=70
2026-07-12T02:25:48.528Z | open=125 | active15m=33 | paid15m=11 | paid60m=71
2026-07-12T02:26:52.101Z | open=125 | active15m=35 | paid15m=11 | paid60m=70
2026-07-12T02:27:58.110Z | open=133 | active15m=34 | paid15m=11 | paid60m=71
2026-07-12T02:29:03.248Z | open=139 | active15m=40 | paid15m=11 | paid60m=68
2026-07-12T02:30:09.755Z | open=138 | active15m=41 | paid15m=12 | paid60m=69
2026-07-12T02:31:15.718Z | open=136 | active15m=39 | paid15m=14 | paid60m=70
2026-07-12T02:32:21.295Z | open=135 | active15m=38 | paid15m=15 | paid60m=70
2026-07-12T02:33:30.004Z | open=136 | active15m=39 | paid15m=15 | paid60m=71
2026-07-12T02:34:34.260Z | open=135 | active15m=37 | paid15m=16 | paid60m=70
2026-07-12T02:35:38.073Z | open=138 | active15m=35 | paid15m=18 | paid60m=70
2026-07-12T02:36:42.255Z | open=124 | active15m=33 | paid15m=19 | paid60m=71
2026-07-12T02:37:46.001Z | open=124 | active15m=32 | paid15m=22 | paid60m=73
2026-07-12T02:38:50.394Z | open=114 | active15m=31 | paid15m=23 | paid60m=75
2026-07-12T02:39:54.262Z | open=117 | active15m=30 | paid15m=22 | paid60m=75
2026-07-12T02:40:58.179Z | open=111 | active15m=27 | paid15m=21 | paid60m=73
2026-07-12T02:42:02.589Z | open=109 | active15m=24 | paid15m=21 | paid60m=73
2026-07-12T02:43:08.907Z | open=105 | active15m=15 | paid15m=21 | paid60m=74
2026-07-12T02:44:13.589Z | open=113 | active15m=19 | paid15m=22 | paid60m=76
2026-07-12T02:45:17.298Z | open=111 | active15m=18 | paid15m=21 | paid60m=72
2026-07-12T02:46:21.570Z | open=109 | active15m=17 | paid15m=21 | paid60m=72
2026-07-12T02:47:24.516Z | open=109 | active15m=17 | paid15m=21 | paid60m=71
2026-07-12T02:48:28.526Z | open=108 | active15m=18 | paid15m=18 | paid60m=68
2026-07-12T02:49:31.963Z | open=113 | active15m=25 | paid15m=17 | paid60m=65
2026-07-12T02:50:35.134Z | open=112 | active15m=23 | paid15m=17 | paid60m=67
2026-07-12T02:51:38.857Z | open=110 | active15m=24 | paid15m=19 | paid60m=67
2026-07-12T02:52:41.939Z | open=114 | active15m=28 | paid15m=17 | paid60m=68
2026-07-12T02:53:47.035Z | open=120 | active15m=34 | paid15m=18 | paid60m=68
2026-07-12T02:54:50.221Z | open=119 | active15m=35 | paid15m=15 | paid60m=67
